sample.ID	abx	replicate
S1	Control	1
S2	Control	2
S3	Control	4
S4	Control	5
S5	Neo	1
S6	Neo	2
S7	Neo	3
S8	Neo	4
S9	Neo	5
S10	Van	1
S11	Van	2
S12	Van	3
S13	Van	4
S14	Van	5
